waktu,text_asli,terjemahan,negara,akun,clean,normal,tokens,stem,final_text,skor,label,punya_emoji,label_sebelum_sarkas
2025-01-08T12:02:58.000Z,Die laatste belasting over je statiegeld😔😔😔,Pajak terakhir atas deposit Anda😔😔😔,Belanda,defanoholwijn,pajak terakhir atas deposit anda,pajak terakhir atas deposit anda,"['pajak', 'terakhir', 'atas', 'deposit']","['pajak', 'akhir', 'atas', 'deposit']",pajak akhir atas deposit,-7,negatif,TRUE,negatif
2025-01-08T05:17:51.000Z,Drankje is 70 cent statie geld is 1 euro,"Minuman 70 sen, deposit 1 euro",Belanda,defanoholwijn,minuman sen deposit euro,minuman sen deposit euro,"['minuman', 'sen', 'deposit', 'euro']","['minum', 'sen', 'deposit', 'euro']",minum sen deposit euro,-3,negatif,FALSE,negatif
2025-01-07T06:42:01.000Z,"Al je legen flessen bewaren tot statiegeld 1 euro word 0,75 cent winst🥸","Simpan semua botol kosong Anda hingga deposit 1 euro menjadi keuntungan 0,75 sen🥸",Belanda,defanoholwijn,simpan semua botol kosong anda hingga deposit euro menjadi keuntungan sen,simpan semua botol kosong anda hingga deposit euro menjadi keuntungan sen,"['simpan', 'semua', 'botol', 'kosong', 'hingga', 'deposit', 'euro', 'menjadi', 'keuntungan', 'sen']","['simpan', 'semua', 'botol', 'kosong', 'hingga', 'deposit', 'euro', 'jadi', 'untung', 'sen']",simpan semua botol kosong hingga deposit euro jadi untung sen,-6,negatif,TRUE,negatif
2025-01-30T02:45:32.000Z,Nu gwn oude flessen bewaren en dan de nieuwe barcode scanne en uitprinten en op de oude plakke,Sekarang simpan botol bekas lalu pindai dan cetak barcode baru dan tempelkan pada yang lama,Belanda,defanoholwijn,sekarang simpan botol bekas lalu pindai dan cetak barcode baru dan tempelkan pada yang lama,sekarang simpan botol bekas lalu pindai dan cetak barcode baru dan tempelkan pada yang lama,"['sekarang', 'simpan', 'botol', 'bekas', 'lalu', 'pindai', 'cetak', 'barcode', 'baru', 'tempelkan', 'lama']","['sekarang', 'simpan', 'botol', 'bekas', 'lalu', 'pindai', 'cetak', 'barcode', 'baru', 'tempel', 'lama']",sekarang simpan botol bekas lalu pindai cetak barcode baru tempel lama,0,netral,FALSE,netral
2025-01-05T12:47:37.000Z,"statiegeld ""schiet"" je eenmalig voor toch?
wat is het probleem?😏","Anda ""memajukan"" deposit satu kali, bukan?
apa masalahnya?😏",Belanda,defanoholwijn,anda memajukan deposit satu kali bukan apa masalahnya,anda memajukan deposit satu kali bukan apa masalahnya,"['memajukan', 'deposit', 'satu', 'kali', 'bukan', 'apa', 'masalahnya']","['maju', 'deposit', 'satu', 'kali', 'bukan', 'apa', 'masalah']",maju deposit satu kali bukan apa masalah,-1,negatif,TRUE,negatif
2025-01-05T17:05:24.000Z,….euhm je begrijptt dat een fles max 5 cent waard is hè. Dus de supermarkten zullen er dan juist op verdienen,"....um, kamu paham kalau sebotol bernilai maksimal 5 sen, kan? Jadi supermarket benar-benar akan menghasilkan uang darinya",Belanda,defanoholwijn,um kamu paham kalau sebotol bernilai maksimal sen kan jadi supermarket benar benar akan menghasilkan uang darinya,um kamu paham kalau sebotol bernilai maksimal sen kan jadi supermarket benar benar akan menghasilkan uang darinya,"['um', 'kamu', 'paham', 'kalau', 'sebotol', 'bernilai', 'maksimal', 'sen', 'kan', 'jadi', 'supermarket', 'benar', 'benar', 'menghasilkan', 'uang', 'darinya']","['um', 'kamu', 'paham', 'kalau', 'botol', 'nila', 'maksimal', 'sen', 'kan', 'jadi', 'supermarket', 'benar', 'benar', 'hasil', 'uang', 'dari']",um kamu paham kalau botol nila maksimal sen kan jadi supermarket benar benar hasil uang dari,9,positif,FALSE,positif
2025-01-05T17:13:14.000Z,"Supermarkten hebben zo'n grote marche overal op die merken niks joh! En daar gaat het ook niet om, zij bepalen het statiegeld niet dat doet de overheid.","Supermarket punya banyak sekali merek di mana-mana, kawan! Dan bukan itu masalahnya, mereka tidak menentukan depositnya, pemerintah yang menentukan.",Belanda,defanoholwijn,supermarket punya banyak sekali merek di mana mana kawan dan bukan itu masalahnya mereka tidak menentukan depositnya pemerintah yang menentukan,supermarket punya banyak sekali merek di mana mana kawan dan bukan itu masalahnya mereka tidak menentukan depositnya pemerintah yang menentukan,"['supermarket', 'punya', 'banyak', 'sekali', 'merek', 'mana', 'mana', 'kawan', 'bukan', 'masalahnya', 'menentukan', 'depositnya', 'pemerintah', 'menentukan']","['supermarket', 'punya', 'banyak', 'sekali', 'merek', 'mana', 'mana', 'kawan', 'bukan', 'masalah', 'tentu', 'deposit', 'perintah', 'tentu']",supermarket punya banyak sekali merek mana mana kawan bukan masalah tentu deposit perintah tentu,0,netral,FALSE,netral
2025-01-06T18:16:52.000Z,"Massaal niet inleveren is geen optie hoor want ook al merken de supermarkten er dan niks van(100 miljoenen extra voor hun), wij gaan er hard op achteruit met 1 euro betalen voor een fles","Tidak mengembalikan secara massal bukanlah suatu pilihan, karena meskipun supermarket tidak memperhatikan apa pun (tambahan 100 juta untuk mereka), kita akan rugi dengan membayar 1 euro untuk sebuah botol.",Belanda,defanoholwijn,tidak mengembalikan secara massal bukanlah suatu pilihan karena meskipun supermarket tidak memperhatikan apa pun tambahan juta untuk mereka kita akan rugi dengan membayar euro untuk sebuah botol,tidak mengembalikan secara massal bukanlah suatu pilihan karena meskipun supermarket tidak memperhatikan apa pun tambahan juta untuk mereka kita akan rugi dengan membayar euro untuk sebuah botol,"['mengembalikan', 'massal', 'bukanlah', 'suatu', 'pilihan', 'meskipun', 'supermarket', 'memperhatikan', 'apa', 'tambahan', 'juta', 'rugi', 'membayar', 'euro', 'sebuah', 'botol']","['kembali', 'massal', 'bukan', 'suatu', 'pilih', 'meski', 'supermarket', 'perhati', 'apa', 'tambah', 'juta', 'rugi', 'bayar', 'euro', 'buah', 'botol']",kembali massal bukan suatu pilih meski supermarket perhati apa tambah juta rugi bayar euro buah botol,-7,negatif,FALSE,negatif
2025-01-05T13:07:12.000Z,Gewoon in winkels overgieten in 🛢️olievaten,Cukup tuangkan ke dalam 🛢️tong minyak di toko,Belanda,defanoholwijn,cukup tuangkan ke dalam tong minyak di toko,cukup tuangkan ke dalam tong minyak di toko,"['cukup', 'tuangkan', 'tong', 'minyak', 'toko']","['cukup', 'tuang', 'tong', 'minyak', 'toko']",cukup tuang tong minyak toko,-5,negatif,TRUE,negatif
2025-01-05T12:52:37.000Z,dat wordt dure drank!😏,Itu akan menjadi minuman yang mahal!😏,Belanda,defanoholwijn,itu akan menjadi minuman yang mahal,itu akan menjadi minuman yang mahal,"['menjadi', 'minuman', 'mahal']","['jadi', 'minum', 'mahal']",jadi minum mahal,-1,negatif,TRUE,negatif
2025-01-06T04:48:10.000Z,"genoeg om statiegeld te betalen?
1 euro?😂😂😂😂😂","cukup untuk membayar deposit?
1 euro?😂😂😂😂😂",Belanda,defanoholwijn,cukup untuk membayar deposit euro,cukup untuk membayar deposit euro,"['cukup', 'membayar', 'deposit', 'euro']","['cukup', 'bayar', 'deposit', 'euro']",cukup bayar deposit euro,-4,negatif,TRUE,negatif
2025-01-06T01:15:33.000Z,maar je moet eerst wel genoeg hebben om de statiegeld te betalen,namun anda harus mempunyai uang yang cukup terlebih dahulu untuk membayar deposit,Belanda,defanoholwijn,namun anda harus mempunyai uang yang cukup terlebih dahulu untuk membayar deposit,namun anda harus mempunyai uang yang cukup terlebih dahulu untuk membayar deposit,"['mempunyai', 'uang', 'cukup', 'terlebih', 'membayar', 'deposit']","['punya', 'uang', 'cukup', 'lebih', 'bayar', 'deposit']",punya uang cukup lebih bayar deposit,0,netral,FALSE,netral
2025-01-05T12:55:42.000Z,? statiegeld krijg je terug toch?😏,"? Anda mendapatkan deposit Anda kembali, kan?😏",Belanda,defanoholwijn,anda mendapatkan deposit anda kembali kan,anda mendapatkan deposit anda kembali kan,"['mendapatkan', 'deposit', 'kan']","['dapat', 'deposit', 'kan']",dapat deposit kan,2,negatif,TRUE,positif
2025-01-05T12:54:53.000Z,"top, daarom doen ze het nl.!😂","bagus, itu sebabnya mereka melakukannya!😂",Belanda,defanoholwijn,bagus itu sebabnya mereka melakukannya,bagus itu sebabnya mereka melakukannya,"['bagus', 'sebabnya', 'melakukannya']","['bagus', 'sebab', 'laku']",bagus sebab laku,5,positif,TRUE,positif
2025-01-04T23:07:53.000Z,flessen,botol,Belanda,defanoholwijn,botol,botol,['botol'],['botol'],botol,0,netral,FALSE,netral
2025-01-04T21:50:10.000Z,zo denk ik nu ook😂😂😂😂,Begitulah menurutku sekarang😂😂😂😂,Belanda,defanoholwijn,begitulah menurutku sekarang,begitulah menurutku sekarang,"['begitulah', 'menurutku', 'sekarang']","['begitu', 'turut', 'sekarang']",begitu turut sekarang,-3,negatif,TRUE,negatif
2025-01-04T18:28:28.000Z,Dus een klein flesje water is nu gwn 1.50 wil je zeggen drm moet je gwn alleen capri sun drinken,"Jadi air botolan kecil sekarang sekitar 1,50, maksudnya DRM sebaiknya minum Capri Sun saja",Belanda,defanoholwijn,jadi air botolan kecil sekarang sekitar maksudnya drm sebaiknya minum capri sun saja,jadi air botolan kecil sekarang sekitar maksudnya drm sebaiknya minum capri sun saja,"['jadi', 'air', 'botolan', 'kecil', 'sekarang', 'maksudnya', 'drm', 'sebaiknya', 'minum', 'capri', 'sun']","['jadi', 'air', 'botol', 'kecil', 'sekarang', 'maksud', 'drm', 'baik', 'minum', 'capri', 'sun']",jadi air botol kecil sekarang maksud drm baik minum capri sun,-3,negatif,FALSE,negatif
2025-01-05T12:45:24.000Z,"Bij droppie in Amsterdam staat een machine waar je gwn al je flessen in 1 keer in kan gooien en dan krijg je betaald via tikkie, ga daarnaartoe","Di Droppie di Amsterdam ada mesin di mana Anda bisa membuang semua botol Anda sekaligus dan kemudian Anda dibayar melalui tikkie, pergi ke sana",Belanda,defanoholwijn,di droppie di amsterdam ada mesin di mana anda bisa membuang semua botol anda sekaligus dan kemudian anda dibayar melalui tikkie pergi ke sana,di droppie di amsterdam ada mesin di mana anda bisa membuang semua botol anda sekaligus dan kemudian anda dibayar melalui tikkie pergi ke sana,"['droppie', 'amsterdam', 'mesin', 'mana', 'membuang', 'semua', 'botol', 'sekaligus', 'kemudian', 'dibayar', 'melalui', 'tikkie', 'pergi', 'sana']","['droppie', 'amsterdam', 'mesin', 'mana', 'buang', 'semua', 'botol', 'sekaligus', 'kemudian', 'bayar', 'lalu', 'tikkie', 'pergi', 'sana']",droppie amsterdam mesin mana buang semua botol sekaligus kemudian bayar lalu tikkie pergi sana,-1,negatif,FALSE,negatif
2025-01-05T21:12:21.000Z,2.75+1euro=3.50💯,"2,75+1 euro=3,50💯",Belanda,defanoholwijn,euro,euro,['euro'],['euro'],euro,0,netral,TRUE,netral
2025-01-05T01:39:01.000Z,Wordt weer compenseren bij de zelfscan 🤷🤷,Akan mendapat kompensasi lagi di self scan 🤷🤷,Belanda,defanoholwijn,akan mendapat kompensasi lagi di self scan,akan mendapat kompensasi lagi di self scan,"['mendapat', 'kompensasi', 'self', 'scan']","['dapat', 'kompensasi', 'self', 'scan']",dapat kompensasi self scan,2,positif,TRUE,positif
2025-01-04T20:37:26.000Z,OOH IK HEB EEN FLES GEVONDEN,OOH SAYA MENEMUKAN BOTOL,Belanda,defanoholwijn,ooh saya menemukan botol,oh saya menemukan botol,"['menemukan', 'botol']","['temu', 'botol']",temu botol,2,positif,FALSE,positif
2025-01-05T06:04:21.000Z,"Kijk, als het in flessen komt, dus schapstabiel dan bestel ik het op internet, niks statiegeld en bulkprijs","Begini, kalau kemasannya botolan, jadi stabil di rak, lalu saya pesan di internet, tanpa deposit atau harga grosir",Belanda,defanoholwijn,begini kalau kemasannya botolan jadi stabil di rak lalu saya pesan di internet tanpa deposit atau harga grosir,begini kalau kemasannya botolan jadi stabil di rak lalu saya pesan di internet tanpa deposit atau harga grosir,"['begini', 'kalau', 'kemasannya', 'botolan', 'jadi', 'stabil', 'rak', 'lalu', 'pesan', 'internet', 'deposit', 'harga', 'grosir']","['begini', 'kalau', 'kemas', 'botol', 'jadi', 'stabil', 'rak', 'lalu', 'pesan', 'internet', 'deposit', 'harga', 'grosir']",begini kalau kemas botol jadi stabil rak lalu pesan internet deposit harga grosir,13,positif,FALSE,positif
2025-01-04T16:38:47.000Z,Ze testen gwn of we hbbn of niet zo dat ze weten hoe hard ze ons gaan laten bukken 😂,Mereka justru menguji apakah kita HBBN atau tidak agar mereka tahu betapa kerasnya mereka akan membuat kita bungkuk 😂,Belanda,defanoholwijn,mereka justru menguji apakah kita hbbn atau tidak agar mereka tahu betapa kerasnya mereka akan membuat kita bungkuk,mereka justru menguji apakah kita hbbn atau tidak agar mereka tahu betapa kerasnya mereka akan membuat kita bungkuk,"['justru', 'menguji', 'hbbn', 'tahu', 'betapa', 'kerasnya', 'membuat', 'bungkuk']","['justru', 'uji', 'hbbn', 'tahu', 'betapa', 'keras', 'buat', 'bungkuk']",justru uji hbbn tahu betapa keras buat bungkuk,10,positif,TRUE,positif
2025-01-05T12:19:32.000Z,Dan drink Je toch water geen cola water is goed voor Je en goedkoper,"Kemudian Anda minum air putih, bukan minuman bersoda, air itu baik untuk Anda dan lebih murah",Belanda,defanoholwijn,kemudian anda minum air putih bukan minuman bersoda air itu baik untuk anda dan lebih murah,kemudian anda minum air putih bukan minuman bersoda air itu baik untuk anda dan lebih murah,"['kemudian', 'minum', 'air', 'putih', 'bukan', 'minuman', 'bersoda', 'air', 'baik', 'lebih', 'murah']","['kemudian', 'minum', 'air', 'putih', 'bukan', 'minum', 'soda', 'air', 'baik', 'lebih', 'murah']",kemudian minum air putih bukan minum soda air baik lebih murah,-2,negatif,FALSE,negatif
2025-01-04T15:46:31.000Z,Je hoef niet raar te kijken als een random persoon je blikje uit je hand pakt,Anda tidak perlu terlihat aneh ketika orang sembarangan mengambil kaleng dari tangan Anda,Belanda,defanoholwijn,anda tidak perlu terlihat aneh ketika orang sembarangan mengambil kaleng dari tangan anda,anda tidak perlu terlihat aneh ketika orang sembarangan mengambil kaleng dari tangan anda,"['perlu', 'terlihat', 'aneh', 'orang', 'sembarangan', 'mengambil', 'kaleng', 'tangan']","['perlu', 'lihat', 'aneh', 'orang', 'sembarang', 'ambil', 'kaleng', 'tangan']",perlu lihat aneh orang sembarang ambil kaleng tangan,1,positif,FALSE,positif
2025-01-04T22:58:38.000Z,Vroeger was het 1 Gulden,Dulunya 1 Gulden,Belanda,defanoholwijn,dulunya gulden,dulunya gulden,['gulden'],['gulden'],gulden,0,netral,FALSE,netral
2025-01-04T16:40:44.000Z,Hoe zit dat met de lege flessen die je nog hebt liggen,Bagaimana dengan botol-botol kosong yang Anda miliki?,Belanda,defanoholwijn,bagaimana dengan botol botol kosong yang anda miliki,bagaimana dengan botol botol kosong yang anda miliki,"['bagaimana', 'botol', 'botol', 'kosong', 'miliki']","['bagaimana', 'botol', 'botol', 'kosong', 'milik']",bagaimana botol botol kosong milik,-3,negatif,FALSE,negatif
2025-01-04T18:30:46.000Z,Even wachten met inleveren dan 😂,Harap tunggu sebentar sebelum menyerahkannya 😂,Belanda,defanoholwijn,harap tunggu sebentar sebelum menyerahkannya,harap tunggu sebentar sebelum menyerahkannya,"['harap', 'tunggu', 'sebentar', 'menyerahkannya']","['harap', 'tunggu', 'sebentar', 'serah']",harap tunggu sebentar serah,4,positif,TRUE,positif
2025-01-05T12:11:36.000Z,wel als de flessen van Jumbo of Appie komen. deed het zo vaak kopen in België in NL omwisselen. en soms als je geluk heb. dan heb je een winkel zonder machien en dan tellen ze de flessen,"ya, jika botolnya berasal dari Jumbo atau Appie. melakukannya begitu sering membeli di Belgia dan menukarnya di NL. dan terkadang jika Anda beruntung. lalu Anda memiliki toko tanpa mesin dan kemudian mereka menghitung botolnya",Belanda,defanoholwijn,ya jika botolnya berasal dari jumbo atau appie melakukannya begitu sering membeli di belgia dan menukarnya di nl dan terkadang jika anda beruntung lalu anda memiliki toko tanpa mesin dan kemudian mereka menghitung botolnya,ya jika botolnya berasal dari jumbo atau appie melakukannya begitu sering membeli di belgia dan menukarnya di nl dan terkadang jika anda beruntung lalu anda memiliki toko tanpa mesin dan kemudian mereka menghitung botolnya,"['botolnya', 'berasal', 'jumbo', 'appie', 'melakukannya', 'sering', 'membeli', 'belgia', 'menukarnya', 'nl', 'terkadang', 'beruntung', 'lalu', 'memiliki', 'toko', 'mesin', 'kemudian', 'menghitung', 'botolnya']","['botol', 'asal', 'jumbo', 'appie', 'laku', 'sering', 'beli', 'belgia', 'tukar', 'nl', 'terkadang', 'untung', 'lalu', 'milik', 'toko', 'mesin', 'kemudian', 'hitung', 'botol']",botol asal jumbo appie laku sering beli belgia tukar nl terkadang untung lalu milik toko mesin kemudian hitung botol,17,positif,FALSE,positif
2025-01-05T12:09:11.000Z,Kan je ook ni inleveren,Anda juga tidak bisa menyerahkannya,Belanda,defanoholwijn,anda juga tidak bisa menyerahkannya,anda juga tidak bisa menyerahkannya,['menyerahkannya'],['serah'],serah,2,positif,FALSE,positif
2025-01-05T13:11:00.000Z,Jawel joh je moet gewoon naar de appie gaan of jumbo en huismerk cola van de Carrefour kan ook nog😏 ff kijken of dat statiegeld logo erop zit,Iya tinggal masuk ke app atau jumbo dan private label cola dari Carrefour juga bisa 😏 coba lihat ada logo depositnya di situ,Belanda,defanoholwijn,iya tinggal masuk ke app atau jumbo dan private label cola dari carrefour juga bisa coba lihat ada logo depositnya di situ,iya tinggal masuk ke app atau jumbo dan private label cola dari carrefour juga bisa coba lihat ada logo depositnya di situ,"['iya', 'tinggal', 'masuk', 'app', 'jumbo', 'private', 'label', 'cola', 'carrefour', 'coba', 'lihat', 'logo', 'depositnya', 'situ']","['iya', 'tinggal', 'masuk', 'app', 'jumbo', 'private', 'label', 'cola', 'carrefour', 'coba', 'lihat', 'logo', 'deposit', 'situ']",iya tinggal masuk app jumbo private label cola carrefour coba lihat logo deposit situ,3,negatif,TRUE,positif
2025-01-04T16:19:22.000Z,"Bro ik werk al kapot hard en ben nog steeds broke, wat moet ik verder doen","Gan, saya sudah bekerja keras dan masih bangkrut, apa yang harus saya lakukan selanjutnya?",Belanda,defanoholwijn,gan saya sudah bekerja keras dan masih bangkrut apa yang harus saya lakukan selanjutnya,gan saya sudah bekerja keras dan masih bangkrut apa yang harus saya lakukan selanjutnya,"['gan', 'bekerja', 'keras', 'bangkrut', 'apa', 'lakukan', 'selanjutnya']","['gan', 'kerja', 'keras', 'bangkrut', 'apa', 'laku', 'lanjut']",gan kerja keras bangkrut apa laku lanjut,-4,negatif,FALSE,negatif
2025-01-05T13:45:20.000Z,Niffo ik word rijk,Niffo aku menjadi kaya,Belanda,defanoholwijn,niffo aku menjadi kaya,niffo aku menjadi kaya,"['niffo', 'aku', 'menjadi', 'kaya']","['niffo', 'aku', 'jadi', 'kaya']",niffo aku jadi kaya,5,positif,FALSE,positif
2025-04-03T15:37:58.000Z,Ja alleen omdat ze denken dat mensen dan meer flessen terug brengen maar het probleem is dat er te weinig plekken waar je terecht kan om in te leveren.,"Ya, hanya karena mereka mengira orang akan membawa kembali lebih banyak botol, namun masalahnya adalah hanya ada sedikit tempat yang bisa Anda datangi untuk mengembalikannya.",Belanda,defanoholwijn,ya hanya karena mereka mengira orang akan membawa kembali lebih banyak botol namun masalahnya adalah hanya ada sedikit tempat yang bisa anda datangi untuk mengembalikannya,ya hanya karena mereka mengira orang akan membawa kembali lebih banyak botol namun masalahnya adalah hanya ada sedikit tempat yang bisa anda datangi untuk mengembalikannya,"['mengira', 'orang', 'membawa', 'lebih', 'banyak', 'botol', 'masalahnya', 'sedikit', 'tempat', 'datangi', 'mengembalikannya']","['ira', 'orang', 'bawa', 'lebih', 'banyak', 'botol', 'masalah', 'sedikit', 'tempat', 'datang', 'kembali']",ira orang bawa lebih banyak botol masalah sedikit tempat datang kembali,-13,negatif,FALSE,negatif
2025-01-05T09:27:40.000Z,kijk dan gaat het goed anders brengen mensrn het niet terug,"Lihat, ini berjalan dengan baik, jika tidak, orang tidak akan mengembalikannya",Belanda,defanoholwijn,lihat ini berjalan dengan baik jika tidak orang tidak akan mengembalikannya,lihat ini berjalan dengan baik jika tidak orang tidak akan mengembalikannya,"['lihat', 'berjalan', 'baik', 'orang', 'mengembalikannya']","['lihat', 'jalan', 'baik', 'orang', 'kembali']",lihat jalan baik orang kembali,6,positif,FALSE,positif
2025-01-04T15:40:10.000Z,Denk ga gwn bidon meenemen alles erin gieten en terug geven,"Saya pikir saya akan membawa sebotol air, menuangkan semua yang ada di dalamnya dan mengembalikannya",Belanda,defanoholwijn,saya pikir saya akan membawa sebotol air menuangkan semua yang ada di dalamnya dan mengembalikannya,saya pikir saya akan membawa sebotol air menuangkan semua yang ada di dalamnya dan mengembalikannya,"['pikir', 'membawa', 'sebotol', 'air', 'menuangkan', 'semua', 'dalamnya', 'mengembalikannya']","['pikir', 'bawa', 'botol', 'air', 'tuang', 'semua', 'dalam', 'kembali']",pikir bawa botol air tuang semua dalam kembali,1,positif,FALSE,positif
2025-03-18T01:47:05.000Z,Ik koop alles in België,Saya membeli semuanya di Belgia,Belanda,defanoholwijn,saya membeli semuanya di belgia,saya membeli semuanya di belgia,"['membeli', 'semuanya', 'belgia']","['beli', 'semua', 'belgia']",beli semua belgia,-1,negatif,FALSE,negatif
2025-01-06T23:30:22.000Z,Opsporingverzocht 2025 : “Steeds meer inbraken voor statiegeld flessen “,Permintaan investigasi pada tahun 2025: “Semakin banyak perampokan untuk menyimpan botol”,Belanda,defanoholwijn,permintaan investigasi pada tahun semakin banyak perampokan untuk menyimpan botol,permintaan investigasi pada tahun semakin banyak perampokan untuk menyimpan botol,"['permintaan', 'investigasi', 'tahun', 'semakin', 'banyak', 'perampokan', 'menyimpan', 'botol']","['minta', 'investigasi', 'tahun', 'makin', 'banyak', 'ampo', 'simpan', 'botol']",minta investigasi tahun makin banyak ampo simpan botol,4,positif,FALSE,positif
2025-01-05T10:11:21.000Z,er staat mogelijk maar gaat sws niet gebeuren,"Dikatakan mungkin, tapi mungkin tidak akan terjadi",Belanda,defanoholwijn,dikatakan mungkin tapi mungkin tidak akan terjadi,dikatakan mungkin tapi mungkin tidak akan terjadi,"['dikatakan', 'mungkin', 'mungkin', 'terjadi']","['kata', 'mungkin', 'mungkin', 'jadi']",kata mungkin mungkin jadi,-2,negatif,FALSE,negatif
2025-02-06T09:26:28.000Z,Is van de toekomst v jouw kind 🤗,Berasal dari masa depan anak anda 🤗,Belanda,defanoholwijn,berasal dari masa depan anak anda,berasal dari masa depan anak anda,"['berasal', 'masa', 'depan', 'anak']","['asal', 'masa', 'depan', 'anak']",asal masa depan anak,-3,negatif,TRUE,negatif
2025-01-04T15:18:17.000Z,Pff praat wat meer let them hear you 😂 want is belachelijk dit,"Pff bicaralah sedikit lagi, biarkan mereka mendengarmu 😂 karena ini konyol",Belanda,defanoholwijn,pff bicaralah sedikit lagi biarkan mereka mendengarmu karena ini konyol,pff bicaralah sedikit lagi biarkan mereka mendengarmu karena ini konyol,"['pff', 'bicaralah', 'sedikit', 'biarkan', 'mendengarmu', 'konyol']","['pff', 'bicara', 'sedikit', 'biar', 'dengar', 'konyol']",pff bicara sedikit biar dengar konyol,-4,negatif,TRUE,negatif
2025-01-04T17:53:15.000Z,mensen zonder geld kopen geen merken,orang tanpa uang tidak membeli merek,Belanda,defanoholwijn,orang tanpa uang tidak membeli merek,orang tanpa uang tidak membeli merek,"['orang', 'uang', 'membeli', 'merek']","['orang', 'uang', 'beli', 'merek']",orang uang beli merek,2,positif,FALSE,positif
2025-01-06T00:51:07.000Z,Soda stream bespaart mij zoveel🙌,Aliran soda sangat menyelamatkan saya🙌,Belanda,defanoholwijn,aliran soda sangat menyelamatkan saya,aliran soda sangat menyelamatkan saya,"['aliran', 'soda', 'sangat', 'menyelamatkan']","['alir', 'soda', 'sangat', 'selamat']",alir soda sangat selamat,8,positif,TRUE,positif
2025-01-05T23:07:17.000Z,K heb nieuwe baan gevonden 😂,Saya menemukan pekerjaan baru 😂,Belanda,defanoholwijn,saya menemukan pekerjaan baru,saya menemukan pekerjaan baru,"['menemukan', 'pekerjaan', 'baru']","['temu', 'kerja', 'baru']",temu kerja baru,4,positif,TRUE,positif
2025-01-05T19:43:06.000Z,"Yes . Ze kunnen die spaar zegels er uithalen nu, we kunnen statiegeld bonnen sparen om naar su te gaan","Ya. Mereka bisa mengambil stempel tabungan itu sekarang, kita bisa menyimpan slip setoran untuk dibawa ke su",Belanda,defanoholwijn,ya mereka bisa mengambil stempel tabungan itu sekarang kita bisa menyimpan slip setoran untuk dibawa ke su,ya mereka bisa mengambil stempel tabungan itu sekarang kita bisa menyimpan slip setoran untuk dibawa ke su,"['mengambil', 'stempel', 'tabungan', 'sekarang', 'menyimpan', 'slip', 'setoran', 'dibawa', 'su']","['ambil', 'stempel', 'tabung', 'sekarang', 'simpan', 'slip', 'setor', 'bawa', 'su']",ambil stempel tabung sekarang simpan slip setor bawa su,-9,negatif,FALSE,negatif
2025-01-05T12:49:41.000Z,"in Duitsland vergelijkbaar, maar dit gaat niet over cola prijzen!😁","serupa di Jerman, tapi ini bukan tentang harga minuman bersoda!😁",Belanda,defanoholwijn,serupa di jerman tapi ini bukan tentang harga minuman bersoda,serupa di jerman tapi ini bukan tentang harga minuman bersoda,"['serupa', 'jerman', 'bukan', 'harga', 'minuman', 'bersoda']","['rupa', 'jerman', 'bukan', 'harga', 'minum', 'soda']",rupa jerman bukan harga minum soda,-6,negatif,TRUE,negatif
2025-01-12T22:47:42.000Z,NEDERLAND HE,BELANDA DIA,Belanda,defanoholwijn,belanda dia,belanda dia,['belanda'],['belanda'],belanda,0,netral,FALSE,netral
2025-01-19T17:07:29.000Z,Wat als je nu flessen koopt en dan het inleveren,Bagaimana jika Anda membeli botol sekarang dan mengembalikannya,Belanda,defanoholwijn,bagaimana jika anda membeli botol sekarang dan mengembalikannya,bagaimana jika anda membeli botol sekarang dan mengembalikannya,"['bagaimana', 'membeli', 'botol', 'sekarang', 'mengembalikannya']","['bagaimana', 'beli', 'botol', 'sekarang', 'kembali']",bagaimana beli botol sekarang kembali,2,positif,FALSE,positif
2025-01-08T18:03:20.000Z,"ik was laatst bij het winterparadijs in Amsterdam en had een blikje redd bull gehaald voor 5,50 euro en kreeg het in een beker. ze hielden zelf het blikje en redd bull uit een beker is niet te zuipen","Saya baru-baru ini berada di surga musim dingin di Amsterdam dan membeli sekaleng Redd Bull seharga 5,50 euro dan mendapatkannya dalam cangkir. Mereka menyimpan kalengnya sendiri dan Anda tidak bisa meminum Redd Bull dari cangkir",Belanda,defanoholwijn,saya baru baru ini berada di surga musim dingin di amsterdam dan membeli sekaleng redd bull seharga euro dan mendapatkannya dalam cangkir mereka menyimpan kalengnya sendiri dan anda tidak bisa meminum redd bull dari cangkir,saya baru baru ini berada di surga musim dingin di amsterdam dan membeli sekaleng redd bull seharga euro dan mendapatkannya dalam cangkir mereka menyimpan kalengnya sendiri dan anda tidak bisa meminum redd bull dari cangkir,"['baru', 'baru', 'berada', 'surga', 'musim', 'dingin', 'amsterdam', 'membeli', 'sekaleng', 'redd', 'bull', 'seharga', 'euro', 'mendapatkannya', 'cangkir', 'menyimpan', 'kalengnya', 'sendiri', 'meminum', 'redd', 'bull', 'cangkir']","['baru', 'baru', 'ada', 'surga', 'musim', 'dingin', 'amsterdam', 'beli', 'kaleng', 'redd', 'bull', 'harga', 'euro', 'dapat', 'cangkir', 'simpan', 'kaleng', 'sendiri', 'minum', 'redd', 'bull', 'cangkir']",baru baru ada surga musim dingin amsterdam beli kaleng redd bull harga euro dapat cangkir simpan kaleng sendiri minum redd bull cangkir,6,positif,FALSE,positif
